Fourth moment,Kurtosis,Modulation type
1.194651e-05,2.6428549,0.0
1.1555478e-05,2.6615713,0.0
1.1712656e-05,2.6033294,0.0
1.1245129e-05,2.6412882,0.0
1.1635827e-05,2.6484107000000003,0.0
1.1866654e-05,2.6670038,0.0
1.1943107e-05,2.6292067,0.0
1.1764629e-05,2.64945,0.0
1.1978398e-05,2.6651314,0.0
1.1981023e-05,2.6221427000000004,0.0
1.1931135999999997e-05,2.6426882000000003,0.0
1.1652826e-05,2.6066979,0.0
1.1666772000000003e-05,2.6734152,0.0
1.197594e-05,2.6472582,0.0
1.1871301e-05,2.6228925,0.0
1.1978614e-05,2.6236285,0.0
1.1649485e-05,2.5958811,0.0
1.1730915e-05,2.6667431,0.0
1.1940845999999997e-05,2.6445944,0.0
1.1590196e-05,2.6255453,0.0
1.1839482e-05,2.614954,0.0
1.1765215e-05,2.6284201,0.0
1.1840209e-05,2.6519937,0.0
1.1927617e-05,2.6675763,0.0
1.1770783e-05,2.646044,0.0
1.1832765e-05,2.6465857,0.0
1.1935291e-05,2.681779,0.0
1.1779118e-05,2.6428688,0.0
1.182057e-05,2.6259068,0.0
1.1625395e-05,2.6434087,0.0
1.1798912e-05,2.6351505,0.0
1.1674063e-05,2.6118603,0.0
1.1911585e-05,2.6707029,0.0
1.1956004e-05,2.6318519,0.0
1.1826171e-05,2.6267679,0.0
1.1531034e-05,2.6157991000000003,0.0
1.1780649e-05,2.6695469,0.0
1.1983561e-05,2.628441,0.0
1.1993657e-05,2.6526536,0.0
1.1512264e-05,2.6184327,0.0
1.1906209e-05,2.6304394,0.0
1.1922743e-05,2.6168995,0.0
1.1649355e-05,2.6804941,0.0
1.198787e-05,2.6454534,0.0
1.1566251e-05,2.6314186,0.0
1.1634289e-05,2.6246394,0.0
1.1811051e-05,2.6635569,0.0
1.1671812e-05,2.6597232,0.0
1.1969884e-05,2.6565145,0.0
1.1861651e-05,2.6319362,0.0
1.1870223000000003e-05,2.6323051,0.0
1.1746048e-05,2.6051465,0.0
1.1971379e-05,2.6630705000000003,0.0
1.1644634000000003e-05,2.647373,0.0
1.1775797e-05,2.6249962000000004,0.0
1.1896098e-05,2.6479402000000003,0.0
1.1993993e-05,2.6584147,0.0
1.1822705000000003e-05,2.6347127,0.0
1.1928177e-05,2.6365093,0.0
1.1922491e-05,2.6324988,0.0
1.1897584999999997e-05,2.6690068,0.0
1.1693731e-05,2.6266273,0.0
1.1957098e-05,2.6102816000000004,0.0
1.155067e-05,2.6400649,0.0
1.1807391e-05,2.6305952,0.0
1.1940056e-05,2.6279229,0.0
1.1889165e-05,2.6711344,0.0
1.1735177e-05,2.6236777,0.0
1.150552e-05,2.6277903,0.0
1.1929159e-05,2.6038552000000004,0.0
1.187864e-05,2.63618,0.0
1.1890976e-05,2.618978,0.0
1.1407171e-05,2.6493887000000003,0.0
1.1705102e-05,2.6380577,0.0
1.1602037e-05,2.6480462000000005,0.0
1.1785332e-05,2.6416404,0.0
1.1891877e-05,2.6516777,0.0
1.1481426e-05,2.6487088,0.0
1.1832144e-05,2.6409674,0.0
1.1455339e-05,2.6142116,0.0
1.1802137e-05,2.6287554,0.0
1.1614911e-05,2.612402,0.0
1.1762412e-05,2.6403001,0.0
1.1376611e-05,2.5941372000000005,0.0
1.1621188e-05,2.6540178,0.0
1.1966724999999997e-05,2.6352736,0.0
1.1685119e-05,2.6280914,0.0
1.19608e-05,2.6265224,0.0
1.1625665e-05,2.6065483,0.0
1.1827875e-05,2.6317822,0.0
1.1716507e-05,2.6522872000000004,0.0
1.1759969e-05,2.6325059,0.0
1.1687478e-05,2.66818,0.0
1.1756003e-05,2.6656947,0.0
1.1858626e-05,2.6600992000000003,0.0
1.1411568e-05,2.6291224,0.0
1.1718003000000004e-05,2.6406397,0.0
1.1995075e-05,2.6299435,0.0
1.1846687999999997e-05,2.6359168,0.0
1.1931557e-05,2.6472343,0.0
1.1910663e-05,2.6392813,0.0
1.1906558e-05,2.6159741000000003,0.0
1.1613954000000003e-05,2.629692,0.0
1.1897642e-05,2.6734758,0.0
1.19511e-05,2.6332525,0.0
1.1579653e-05,2.6203353,0.0
1.1711647e-05,2.6240413,0.0
1.1955319e-05,2.6504343999999995,0.0
1.1706478e-05,2.6645909,0.0
1.1672929999999997e-05,2.6410996,0.0
1.1895123e-05,2.6525176,0.0
1.149057e-05,2.6079753,0.0
1.1548662e-05,2.6232238,0.0
1.197175e-05,2.6136061,0.0
1.1952511e-05,2.6491005000000003,0.0
1.1992547e-05,2.6352023,0.0
1.1732659000000003e-05,2.6163159,0.0
1.1736752e-05,2.642103,0.0
1.1922607e-05,2.6135229,0.0
1.1435198e-05,2.6480217,0.0
1.1831516e-05,2.6362057,0.0
1.1980996e-05,2.6288278,0.0
1.1840258e-05,2.6538427,0.0
1.1683185e-05,2.6459286,0.0
1.1546206e-05,2.64457,0.0
1.1698888e-05,2.6402046,0.0
1.1749102e-05,2.6382323,0.0
1.1521481e-05,2.624159,0.0
1.1828038e-05,2.6247852000000003,0.0
1.1514696e-05,2.625277,0.0
1.1998579e-05,2.668336,0.0
1.1765906e-05,2.6429583,0.0
1.1891092000000004e-05,2.6585477,0.0
1.1687037e-05,2.6524991,0.0
1.1630094e-05,2.6042191000000003,0.0
1.1942543e-05,2.5952142000000005,0.0
1.1502591e-05,2.616072,0.0
1.195729e-05,2.6443142,0.0
1.1746385e-05,2.6323714,0.0
1.1903168e-05,2.6762846,0.0
1.1517052e-05,2.6045444,0.0
1.154381e-05,2.6149575,0.0
1.1427633e-05,2.6194175,0.0
1.159215e-05,2.6341174,0.0
1.1598224e-05,2.6199414,0.0
1.1686195e-05,2.6853414,0.0
1.1919398e-05,2.6352908,0.0
1.1379066e-05,2.6093776,0.0
1.1817312999999997e-05,2.6480851000000003,0.0
1.177413e-05,2.6261148,0.0
1.1659188e-05,2.655449,0.0
1.1931767e-05,2.6368903,0.0
1.1585874e-05,2.6441235,0.0
1.1903747e-05,2.6836777,0.0
1.1642249e-05,2.6326946,0.0
1.1872557e-05,2.6661518,0.0
1.1937042e-05,2.6103829,0.0
1.187756e-05,2.6258268,0.0
1.1704504e-05,2.644581,0.0
1.189453e-05,2.6558805,0.0
1.1936655e-05,2.6611517000000005,0.0
1.1577115e-05,2.6459588,0.0
1.1668275e-05,2.649617,0.0
1.1940356e-05,2.664416,0.0
1.1832765e-05,2.6499144,0.0
1.191201e-05,2.6348372,0.0
1.1591959e-05,2.6235874,0.0
1.1573737e-05,2.6279163,0.0
1.1777835e-05,2.6312816000000003,0.0
1.1937057e-05,2.6348551,0.0
1.1841915e-05,2.63721,0.0
1.1475604e-05,2.6157207,0.0
1.1800971e-05,2.6270752,0.0
1.1628846e-05,2.6575203,0.0
1.1919347e-05,2.6466036,0.0
1.1959473e-05,2.6185062,0.0
1.1776054e-05,2.6336795,0.0
1.1984195e-05,2.6672681000000003,0.0
1.1970789e-05,2.6397793,0.0
1.1863678e-05,2.6335097000000003,0.0
1.1988795e-05,2.6449402,0.0
1.1899443e-05,2.6571953,0.0
1.1753972e-05,2.6111018,0.0
1.1587712e-05,2.6428158,0.0
1.1729958e-05,2.6594415,0.0
1.155642e-05,2.62264,0.0
1.1737116e-05,2.6258695,0.0
1.1832503e-05,2.6411693,0.0
1.1596525e-05,2.6414726,0.0
1.1695155e-05,2.6405796,0.0
1.1635763e-05,2.6733423,0.0
1.1978938e-05,2.6568346000000003,0.0
1.1639294e-05,2.6726918,0.0
1.1941311e-05,2.6147124,0.0
1.1738972e-05,2.6418248,0.0
1.1351310000000003e-05,2.6424199,0.0
1.1926141e-05,2.6300345000000003,0.0
1.198274e-05,2.6304521,0.0
1.1766425e-05,2.6854207000000003,0.0
1.1926806999999996e-05,2.6271836,0.0
1.1620979e-05,2.6307612,0.0
1.1995828e-05,2.6499351000000004,0.0
1.1874956e-05,2.6173514,0.0
1.1826486e-05,2.6509639,0.0
1.1649643e-05,2.6212504,0.0
1.1857838e-05,2.6626916,0.0
1.1693184e-05,2.6344384,0.0
1.1653581e-05,2.6169472000000003,0.0
1.1886968e-05,2.6509917,0.0
1.1796475e-05,2.6209926,0.0
1.19174e-05,2.6447729,0.0
1.1929684e-05,2.6391276,0.0
1.1806009e-05,2.6378611000000003,0.0
1.1335622e-05,2.5899266,0.0
1.1696812e-05,2.6399836,0.0
1.1703816e-05,2.6517011000000004,0.0
